0037 SAI_4                  0.3938  62.710 119.746   0.007  0.020  0.035  0.067  -4.53  -3.83   0.56 -100.70   99.99     1     9     18     45   1600.  0.400 11.149  0.192  0.128  0.005  8.800  0.069   2    0.42    0.14    2.62    0.88   27.90    6.08 DIAS       99.999  9.990   0
0038 NGC_104           go   0.4003 -72.081 305.904 -44.885  0.200  0.530  0.950   3.44   0.00   0.30  -18.00    0.10     0    70    394    598   4501.  0.042 13.280  0.020  0.013 -0.020 10.100  0.000  -1    5.02    0.09   61.60    1.24   35.40    0.55 HARR glo   -0.645  9.990 394
0039 Stock_20               0.4209  62.602 119.920  -0.120  0.025  0.060  0.140  -2.56  -3.24   0.38  999.99   99.99     0    10     37    145   1100.  0.200 10.271  0.096  0.064 -0.020  8.337  0.000   1    1.07    0.28    5.24    1.27   11.86    1.70 COCD       99.999  9.990   0
0040 NGC_103                0.4180  61.340 119.771  -1.373  0.025  0.045  0.090  -2.49  -3.62   0.44 -116.70   99.99     1    12     29     71   2501.  0.450 12.135  0.216  0.144 -0.020  8.565  0.057   7    1.20    0.90    5.19    3.27    0.74    0.42 DIAS       99.999  9.990   0
0041 Berkeley_2             0.4211  60.382 119.696  -2.328  0.018  0.040  0.100   1.07  -2.68   0.49  999.99   99.99     0    12     29    108   5499.  0.899 13.991  0.432  0.288  0.000  8.980  0.033   9    1.75    0.37   20.10    4.51    1.89    0.36 DIAS       99.999  9.990   0
0042 FSR_0494               0.4280  63.750 120.084   1.018  0.020  0.095  0.165  -2.97  -2.66   0.22  999.99   99.99     0     9    118    245   5087.  0.521 13.700  0.250  0.167 -0.010  9.300  0.000  -1    2.86    0.54   22.66    4.47    1.71    0.21 DIAS irc   99.999  9.990   0
0044 FSR_0496               0.4450  64.030 120.223   1.285  0.018  0.075  0.170  -0.29  -2.48   0.29  999.99   99.99     0     8     62    235   1123.  0.770 10.500  0.370  0.247  0.000  9.055  0.049   3    1.84    0.47    5.19    0.94   19.39    5.62 DIAS irc   99.999  9.990   0
0045 NGC_110                0.4570  71.422 120.996   8.637  0.020  0.065  0.115   2.75   3.78   0.51  999.99   99.99     0     4     23     46   1600.  0.650 11.230  0.312  0.208  0.000  8.970  0.000  -1    0.62    0.24    5.86    2.26    4.37    1.50 DIAS dub   99.999  9.990   0
0046 SAI_6                  0.4652  60.677 120.049  -2.066  0.020  0.065  0.120  -0.30  -1.36   0.46  -47.00    3.70     1     7     37    109   3100.  0.899 12.746  0.432  0.288  0.000  8.700  0.061   5    1.19    0.38   13.63    4.87    2.00    0.53 DIAS       99.999  9.990   0
0048 FSR_0481               0.4823  43.279 118.586 -19.406  0.010  0.050  0.110   3.50   1.31   0.66  999.99   99.99     0     3     11     23   2164.  0.385 11.800  0.185  0.123  0.000  9.100  0.000  -1    0.50    0.14    8.14    2.58   11.92    3.63 FPOS       99.999  9.990   0
